1_est 2_est 3_est 4_est 1_ref 2_ref 3_ref 4_ref
-3.796 -10.341 -9.861 -4.276 -4.394 -10.321 -9.634 -5.081
-3.578 -9.861 -10.167 -3.272 -4.736 -10.193 -9.529 -5.400
-3.709 -10.603 -9.556 -4.538 -4.921 -10.045 -9.705 -5.262
-4.494 -10.734 -9.076 -4.669 -4.991 -10.078 -9.550 -5.518
-4.712 -9.687 -9.817 -4.058 -5.195 -10.022 -9.419 -5.798
-4.320 -9.643 -10.428 -5.585 -5.443 -9.905 -9.222 -6.126
-4.581 -10.516 -9.437 -6.109 -5.606 -9.744 -9.394 -5.956
-5.236 -10.254 -9.992 -5.105 -5.726 -9.736 -9.047 -6.415
-5.367 -9.425 -9.992 -5.149 -6.034 -9.562 -8.814 -6.783
-5.018 -10.143 -9.032 -6.414 -6.400 -9.333 -8.429 -7.304
-5.367 -9.687 -8.727 -6.894 -6.679 -9.078 -8.712 -7.046
-6.021 -8.901 -8.945 -6.589 -6.825 -9.044 -8.146 -7.723
-6.189 -8.988 -8.858 -6.589 -7.205 -8.736 -7.961 -7.980
-6.632 -9.425 -7.723 -7.549 -7.470 -8.507 -7.832 -8.145
-7.243 -8.770 -7.199 -8.159 -7.596 -8.402 -8.020 -7.978
-7.461 -8.072 -7.767 -7.679 -7.610 -8.425 -7.917 -8.118
-7.287 -8.508 -7.985 -7.112 -7.707 -8.366 -7.866 -8.207
-7.374 -8.901 -7.330 -7.941 -7.774 -8.320 -7.844 -8.251
-7.767 -8.203 -7.636 -8.465 -7.790 -8.313 -7.927 -8.176
-7.810 -8.072 -8.639 -7.549 -7.782 -8.330 -7.947 -8.165
-7.330 -8.727 -8.552 -7.156 -7.784 -8.344 -8.005 -8.122
-7.461 -8.727 -7.854 -8.203 -7.717 -8.412 -8.140 -7.989
-7.854 -8.116 -8.159 -8.247 -7.629 -8.502 -8.118 -8.012
-7.636 -8.334 -8.901 -7.243 -7.640 -8.501 -8.054 -8.087
-7.199 -8.858 -8.552 -7.287 -7.731 -8.430 -7.823 -8.338
-7.592 -8.596 -7.898 -8.203 -7.891 -8.274 -7.574 -8.591
